Index,Time,Position1 - m,Load1 - kg,PauseCycle,Mark1,Mark2,Motion,Upper Limit,Lower Limit,Emergency Stop
0,0,-0.000003,0.046679,0,0,0,0,0,0,0
1,125,0.000071,0.077798,0,0,0,1,0,0,0
2,156,0.000296,0.715743,0,0,0,1,0,0,0
3,189,0.000600,2.162789,0,0,0,1,0,0,0
4,220,0.000889,3.625395,0,0,0,1,0,0,0
5,267,0.001163,4.621212,0,0,0,1,0,0,0
6,298,0.001441,5.290276,0,0,0,1,0,0,0
7,329,0.001722,5.679266,0,0,0,1,0,0,0
8,361,0.002000,5.819304,0,0,0,1,0,0,0
9,392,0.002279,5.803744,0,0,0,1,0,0,0
10,423,0.002558,5.725945,0,0,0,1,0,0,0
11,454,0.002838,5.617028,0,0,0,1,0,0,0
12,486,0.003116,5.492551,0,0,0,1,0,0,0
13,517,0.003395,5.368074,0,0,0,1,0,0,0
14,548,0.003674,5.274716,0,0,0,1,0,0,0
15,579,0.003953,5.181358,0,0,0,1,0,0,0
16,626,0.004231,5.088000,0,0,0,1,0,0,0
17,657,0.004511,5.010202,0,0,0,1,0,0,0
18,688,0.004789,4.932404,0,0,0,1,0,0,0
19,720,0.005068,4.854606,0,0,0,1,0,0,0
20,751,0.005347,4.792367,0,0,0,1,0,0,0
21,782,0.005626,4.730129,0,0,0,1,0,0,0
22,813,0.005905,4.667891,0,0,0,1,0,0,0
23,845,0.006184,4.605652,0,0,0,1,0,0,0
24,876,0.006463,4.558973,0,0,0,1,0,0,0
25,923,0.006741,4.496735,0,0,0,1,0,0,0
26,954,0.007021,4.465615,0,0,0,1,0,0,0
27,985,0.007299,4.418936,0,0,0,1,0,0,0
28,1032,0.007578,4.372257,0,0,0,1,0,0,0
29,1063,0.007857,4.325578,0,0,0,1,0,0,0
30,1095,0.008136,4.294459,0,0,0,1,0,0,0
31,1126,0.008414,4.263340,0,0,0,1,0,0,0
32,1157,0.008694,4.232221,0,0,0,1,0,0,0
33,1188,0.008972,4.201101,0,0,0,1,0,0,0
34,1219,0.009252,4.154422,0,0,0,1,0,0,0
35,1251,0.009530,4.123303,0,0,0,1,0,0,0
36,1282,0.009809,4.107744,0,0,0,1,0,0,0
37,1313,0.010087,4.076624,0,0,0,1,0,0,0
38,1345,0.010367,4.045505,0,0,0,1,0,0,0
39,1392,0.010646,4.014386,0,0,0,1,0,0,0
40,1423,0.010925,3.998826,0,0,0,1,0,0,0
41,1454,0.011204,3.967707,0,0,0,1,0,0,0
42,1485,0.011482,3.936588,0,0,0,1,0,0,0
43,1516,0.011762,3.921028,0,0,0,1,0,0,0
44,1548,0.012040,3.889909,0,0,0,1,0,0,0
45,1595,0.012320,3.858789,0,0,0,1,0,0,0
46,1612,0.012598,3.843230,0,0,0,1,0,0,0
47,1658,0.012877,3.812110,0,0,0,1,0,0,0
48,1690,0.013155,3.780991,0,0,0,1,0,0,0
49,1721,0.013435,3.765432,0,0,0,1,0,0,0
50,1752,0.013713,3.749872,0,0,0,1,0,0,0
51,1799,0.013992,3.718753,0,0,0,1,0,0,0
52,1832,0.014271,3.687633,0,0,0,1,0,0,0
53,1863,0.014550,3.656514,0,0,0,1,0,0,0
54,1894,0.014828,3.625395,0,0,0,1,0,0,0
55,1925,0.015108,3.594275,0,0,0,1,0,0,0
56,1957,0.015387,3.563156,0,0,0,1,0,0,0
57,1988,0.015666,3.516477,0,0,0,1,0,0,0
58,2019,0.015945,3.500918,0,0,0,1,0,0,0
59,2050,0.016224,3.454239,0,0,0,1,0,0,0
60,2082,0.016503,3.407560,0,0,0,1,0,0,0
61,2129,0.016781,3.360881,0,0,0,1,0,0,0
62,2160,0.017060,3.329762,0,0,0,1,0,0,0
63,2191,0.017338,3.283083,0,0,0,1,0,0,0
64,2222,0.017617,3.236404,0,0,0,1,0,0,0
65,2253,0.017896,3.220844,0,0,0,1,0,0,0
66,2285,0.018175,3.205285,0,0,0,1,0,0,0
67,2316,0.018453,3.220844,0,0,0,1,0,0,0
68,2347,0.018733,3.267523,0,0,0,1,0,0,0
69,2378,0.019011,3.314202,0,0,0,1,0,0,0
70,2409,0.019291,3.376441,0,0,0,1,0,0,0
71,2441,0.019570,3.423120,0,0,0,1,0,0,0
72,2488,0.019849,3.500918,0,0,0,1,0,0,0
73,2519,0.020127,3.532037,0,0,0,1,0,0,0
74,2566,0.020406,3.547597,0,0,0,1,0,0,0
75,2597,0.020686,3.547597,0,0,0,1,0,0,0
76,2628,0.020964,3.485358,0,0,0,1,0,0,0
77,2659,0.021243,3.423120,0,0,0,1,0,0,0
78,2691,0.021521,3.283083,0,0,0,1,0,0,0
79,2724,0.021801,3.034129,0,0,0,1,0,0,0
80,2755,0.022079,2.660697,0,0,0,1,0,0,0
81,2786,0.022358,2.131670,0,0,0,1,0,0,0
82,2817,0.022637,0.902459,0,0,0,1,0,0,0
83,2849,0.022916,0.373431,0,0,0,1,0,0,0
84,2880,0.023194,0.248954,0,0,0,1,0,0,0
85,2928,0.023474,0.217835,0,0,0,1,0,0,0
86,2959,0.023752,0.202275,0,0,0,1,0,0,0
