Index,Time,Position1 - m,Load1 - kg,PauseCycle,Mark1,Mark2,Motion,Upper Limit,Lower Limit,Emergency Stop
0,0,-0.000003,0.077798,0,0,0,0,0,0,0
1,267,0.000072,0.124477,0,0,0,1,0,0,0
2,282,0.000297,0.544587,0,0,0,1,0,0,0
3,329,0.000601,1.509284,0,0,0,1,0,0,0
4,376,0.000890,2.442863,0,0,0,1,0,0,0
5,407,0.001164,3.096367,0,0,0,1,0,0,0
6,438,0.001442,3.532037,0,0,0,1,0,0,0
7,470,0.001722,3.749872,0,0,0,1,0,0,0
8,501,0.002001,3.796551,0,0,0,1,0,0,0
9,532,0.002280,3.734312,0,0,0,1,0,0,0
10,563,0.002559,3.625395,0,0,0,1,0,0,0
11,595,0.002838,3.516477,0,0,0,1,0,0,0
12,626,0.003117,3.407560,0,0,0,1,0,0,0
13,657,0.003396,3.298643,0,0,0,1,0,0,0
14,688,0.003675,3.205285,0,0,0,1,0,0,0
15,720,0.003954,3.111927,0,0,0,1,0,0,0
16,766,0.004232,3.018569,0,0,0,1,0,0,0
17,798,0.004511,2.909652,0,0,0,1,0,0,0
18,829,0.004790,2.816294,0,0,0,1,0,0,0
19,860,0.005069,2.676257,0,0,0,1,0,0,0
20,891,0.005348,2.551780,0,0,0,1,0,0,0
21,922,0.005627,2.411743,0,0,0,1,0,0,0
22,970,0.005906,2.256147,0,0,0,1,0,0,0
23,1001,0.006185,2.131670,0,0,0,1,0,0,0
24,1032,0.006463,2.022753,0,0,0,1,0,0,0
25,1063,0.006742,1.913835,0,0,0,1,0,0,0
26,1095,0.007021,1.804918,0,0,0,1,0,0,0
27,1126,0.007300,1.711560,0,0,0,1,0,0,0
28,1173,0.007578,1.602642,0,0,0,1,0,0,0
29,1206,0.007858,1.524844,0,0,0,1,0,0,0
30,1237,0.008137,1.462606,0,0,0,1,0,0,0
31,1268,0.008415,1.415927,0,0,0,1,0,0,0
32,1299,0.008694,1.338129,0,0,0,1,0,0,0
33,1331,0.008973,1.275890,0,0,0,1,0,0,0
34,1362,0.009252,1.229211,0,0,0,1,0,0,0
35,1393,0.009531,1.166973,0,0,0,1,0,0,0
36,1425,0.009810,1.120294,0,0,0,1,0,0,0
37,1457,0.010088,1.073615,0,0,0,1,0,0,0
38,1488,0.010368,1.026936,0,0,0,1,0,0,0
39,1519,0.010646,0.995817,0,0,0,1,0,0,0
40,1566,0.010925,0.949138,0,0,0,1,0,0,0
41,1597,0.011204,0.918018,0,0,0,1,0,0,0
42,1629,0.011483,0.902459,0,0,0,1,0,0,0
43,1660,0.011761,0.871340,0,0,0,1,0,0,0
44,1691,0.012041,0.871340,0,0,0,1,0,0,0
45,1722,0.012320,0.840220,0,0,0,1,0,0,0
46,1753,0.012598,0.809101,0,0,0,1,0,0,0
47,1800,0.012876,0.762422,0,0,0,1,0,0,0
48,1832,0.013156,0.700184,0,0,0,1,0,0,0
49,1863,0.013435,0.637945,0,0,0,1,0,0,0
50,1894,0.013714,0.606826,0,0,0,1,0,0,0
51,1925,0.013993,0.575706,0,0,0,1,0,0,0
52,1972,0.014271,0.544587,0,0,0,1,0,0,0
53,2003,0.014550,0.497908,0,0,0,1,0,0,0
54,2034,0.014829,0.466789,0,0,0,1,0,0,0
55,2066,0.015108,0.435670,0,0,0,1,0,0,0
56,2081,0.015387,0.420110,0,0,0,1,0,0,0
57,2128,0.015666,0.404550,0,0,0,1,0,0,0
