Index,Time,Position1 - m,Load1 - kg,PauseCycle,Mark1,Mark2,Motion,Upper Limit,Lower Limit,Emergency Stop
0,0,-0.000003,0.015560,0,0,0,0,0,0,0
1,171,-0.000003,0.015560,0,0,0,0,0,0,0
2,304,0.000107,0.093358,0,0,0,1,0,0,0
3,340,0.000358,0.684624,0,0,0,1,0,0,0
4,371,0.000663,1.758239,0,0,0,1,0,0,0
5,403,0.000946,2.707376,0,0,0,1,0,0,0
6,441,0.001221,3.345321,0,0,0,1,0,0,0
7,472,0.001500,3.734312,0,0,0,1,0,0,0
8,504,0.001780,3.936588,0,0,0,1,0,0,0
9,541,0.002059,3.967707,0,0,0,1,0,0,0
10,572,0.002337,3.921028,0,0,0,1,0,0,0
11,603,0.002617,3.843230,0,0,0,1,0,0,0
12,641,0.002896,3.749872,0,0,0,1,0,0,0
13,672,0.003175,3.656514,0,0,0,1,0,0,0
14,703,0.003453,3.578716,0,0,0,1,0,0,0
15,741,0.003733,3.500918,0,0,0,1,0,0,0
16,772,0.004011,3.423120,0,0,0,1,0,0,0
17,803,0.004290,3.360881,0,0,0,1,0,0,0
18,841,0.004569,3.298643,0,0,0,1,0,0,0
19,872,0.004848,3.220844,0,0,0,1,0,0,0
20,903,0.005126,3.143046,0,0,0,1,0,0,0
21,941,0.005406,3.018569,0,0,0,1,0,0,0
22,972,0.005684,2.816294,0,0,0,1,0,0,0
23,1004,0.005963,2.365064,0,0,0,1,0,0,0
24,1041,0.006242,1.742679,0,0,0,1,0,0,0
25,1072,0.006521,0.824661,0,0,0,1,0,0,0
26,1104,0.006799,0.435670,0,0,0,1,0,0,0
27,1141,0.007079,0.248954,0,0,0,1,0,0,0
28,1174,0.007357,0.186716,0,0,0,1,0,0,0
29,1205,0.007636,0.124477,0,0,0,1,0,0,0
30,1241,0.007916,0.062239,0,0,0,1,0,0,0
31,1273,0.008194,0.046679,0,0,0,1,0,0,0
32,1304,0.008473,0.046679,0,0,0,1,0,0,0
33,1326,0.008752,0.046679,0,0,0,1,0,0,0
34,1374,0.009031,0.031119,0,0,0,1,0,0,0
35,1405,0.009309,0.046679,0,0,0,1,0,0,0
36,1441,0.009589,0.046679,0,0,0,1,0,0,0
37,1472,0.009867,0.046679,0,0,0,1,0,0,0
38,1504,0.010146,0.046679,0,0,0,1,0,0,0
39,1542,0.010425,0.031119,0,0,0,1,0,0,0
40,1573,0.010704,0.031119,0,0,0,1,0,0,0
41,1604,0.010983,0.031119,0,0,0,1,0,0,0
42,1642,0.011262,0.015560,0,0,0,1,0,0,0
43,1673,0.011541,-0.015560,0,0,0,1,0,0,0
44,1704,0.011819,0.000000,0,0,0,1,0,0,0
45,1726,0.012099,-0.015560,0,0,0,1,0,0,0
46,1757,0.012377,0.000000,0,0,0,1,0,0,0
