Index,Time,Position1 - m,Load1 - kg,PauseCycle,Mark1,Mark2,Motion,Upper Limit,Lower Limit,Emergency Stop
0,0,0.000003,0.077798,0,0,0,0,0,0,0
1,203,0.000003,0.077798,0,0,0,0,0,0,0
2,345,0.000097,0.140037,0,0,0,1,0,0,0
3,376,0.000345,0.824661,0,0,0,1,0,0,0
4,423,0.000652,2.131670,0,0,0,1,0,0,0
5,454,0.000936,3.298643,0,0,0,1,0,0,0
6,486,0.001210,4.107744,0,0,0,1,0,0,0
7,517,0.001488,4.652331,0,0,0,1,0,0,0
8,548,0.001769,4.963523,0,0,0,1,0,0,0
9,579,0.002047,5.072441,0,0,0,1,0,0,0
10,610,0.002326,5.056881,0,0,0,1,0,0,0
11,642,0.002605,4.963523,0,0,0,1,0,0,0
12,673,0.002885,4.870166,0,0,0,1,0,0,0
13,720,0.003163,4.761248,0,0,0,1,0,0,0
14,751,0.003442,4.667891,0,0,0,1,0,0,0
15,782,0.003720,4.574533,0,0,0,1,0,0,0
16,814,0.003999,4.496735,0,0,0,1,0,0,0
17,845,0.004279,4.403377,0,0,0,1,0,0,0
18,876,0.004557,4.325578,0,0,0,1,0,0,0
19,907,0.004837,4.263340,0,0,0,1,0,0,0
20,939,0.005115,4.185542,0,0,0,1,0,0,0
21,970,0.005395,4.123303,0,0,0,1,0,0,0
22,1001,0.005673,4.076624,0,0,0,1,0,0,0
23,1032,0.005952,3.998826,0,0,0,1,0,0,0
24,1064,0.006231,3.905468,0,0,0,1,0,0,0
25,1126,0.006510,3.780991,0,0,0,1,0,0,0
26,1157,0.006788,3.625395,0,0,0,1,0,0,0
27,1189,0.007067,3.485358,0,0,0,1,0,0,0
28,1220,0.007346,3.376441,0,0,0,1,0,0,0
29,1251,0.007625,3.283083,0,0,0,1,0,0,0
30,1282,0.007903,3.189725,0,0,0,1,0,0,0
31,1314,0.008183,3.080808,0,0,0,1,0,0,0
32,1345,0.008461,2.987450,0,0,0,1,0,0,0
33,1376,0.008740,2.894092,0,0,0,1,0,0,0
34,1407,0.009020,2.800734,0,0,0,1,0,0,0
35,1438,0.009298,2.722936,0,0,0,1,0,0,0
36,1470,0.009577,2.629578,0,0,0,1,0,0,0
37,1518,0.009856,2.551780,0,0,0,1,0,0,0
38,1549,0.010135,2.473982,0,0,0,1,0,0,0
39,1581,0.010413,2.396184,0,0,0,1,0,0,0
40,1612,0.010693,2.302826,0,0,0,1,0,0,0
41,1643,0.010971,2.209468,0,0,0,1,0,0,0
42,1674,0.011250,2.116110,0,0,0,1,0,0,0
43,1707,0.011528,2.007193,0,0,0,1,0,0,0
44,1738,0.011808,1.913835,0,0,0,1,0,0,0
45,1769,0.012086,1.789358,0,0,0,1,0,0,0
46,1801,0.012366,1.649321,0,0,0,1,0,0,0
47,1832,0.012644,1.493725,0,0,0,1,0,0,0
48,1879,0.012923,1.244771,0,0,0,1,0,0,0
49,1926,0.013202,1.135853,0,0,0,1,0,0,0
50,1957,0.013481,1.104734,0,0,0,1,0,0,0
51,1988,0.013760,1.089174,0,0,0,1,0,0,0
52,2019,0.014039,1.058055,0,0,0,1,0,0,0
53,2051,0.014318,0.995817,0,0,0,1,0,0,0
54,2082,0.014596,0.933578,0,0,0,1,0,0,0
55,2113,0.014876,0.886899,0,0,0,1,0,0,0
56,2144,0.015154,0.824661,0,0,0,1,0,0,0
57,2176,0.015433,0.622385,0,0,0,1,0,0,0
58,2207,0.015712,0.000000,0,0,0,1,0,0,0
