Index,Time,Position1 - m,Load1 - kg,PauseCycle,Mark1,Mark2,Motion,Upper Limit,Lower Limit,Emergency Stop,force
0,0,-0.000003,0.077798,0,0,0,0,0,0,0,0.7624204
1,124,0.000117,0.233395,0,0,0,1,0,0,0,2.287271
2,172,0.000376,1.182532,0,0,0,1,0,0,0,11.5888136
3,203,0.000682,2.769615,0,0,0,1,0,0,0,27.142227
4,234,0.000964,4.201101,0,0,0,1,0,0,0,41.1707898
5,265,0.001239,5.274716,0,0,0,1,0,0,0,51.6922168
6,296,0.001518,6.052698,0,0,0,1,0,0,0,59.3164404
7,343,0.001798,6.535047,0,0,0,1,0,0,0,64.0434606
8,375,0.002077,6.784001,0,0,0,1,0,0,0,66.4832098
9,406,0.002356,6.830679,0,0,0,1,0,0,0,66.9406542
10,437,0.002635,6.784001,0,0,0,1,0,0,0,66.4832098
11,468,0.002914,6.675083,0,0,0,1,0,0,0,65.4158134
12,501,0.003193,6.535047,0,0,0,1,0,0,0,64.0434606
13,532,0.003471,6.39501,0,0,0,1,0,0,0,62.671098
14,563,0.00375,6.239413,0,0,0,1,0,0,0,61.1462474
15,595,0.004029,6.099377,0,0,0,1,0,0,0,59.7738946
16,626,0.004308,5.94378,0,0,0,1,0,0,0,58.249044
17,657,0.004586,5.788184,0,0,0,1,0,0,0,56.7242032
18,689,0.004866,5.55479,0,0,0,1,0,0,0,54.436942
19,721,0.005144,5.165799,0,0,0,1,0,0,0,50.6248302
20,752,0.005424,4.792367,0,0,0,1,0,0,0,46.9651966
21,784,0.005702,4.325578,0,0,0,1,0,0,0,42.3906644
22,818,0.005981,3.376441,0,0,0,1,0,0,0,33.0891218
23,865,0.00626,3.42312,0,0,0,1,0,0,0,33.546576
24,896,0.006539,3.594275,0,0,0,1,0,0,0,35.223895
25,927,0.006818,3.625395,0,0,0,1,0,0,0,35.528871
26,958,0.007097,3.532037,0,0,0,1,0,0,0,34.6139626
27,990,0.007376,3.485358,0,0,0,1,0,0,0,34.1565084
28,1022,0.007654,3.500918,0,0,0,1,0,0,0,34.3089964
29,1053,0.007934,3.500918,0,0,0,1,0,0,0,34.3089964
30,1085,0.008212,3.500918,0,0,0,1,0,0,0,34.3089964
31,1131,0.008491,3.500918,0,0,0,1,0,0,0,34.3089964
32,1163,0.008769,3.500918,0,0,0,1,0,0,0,34.3089964
33,1194,0.009049,3.500918,0,0,0,1,0,0,0,34.3089964
34,1241,0.009327,3.485358,0,0,0,1,0,0,0,34.1565084
