Index,Time,Position1 - m,Load1 - kg,PauseCycle,Mark1,Mark2,Motion,Upper Limit,Lower Limit,Emergency Stop
0,0,-0.000003,0.077798,0,0,0,0,0,0,0
1,205,-0.000003,0.077798,0,0,0,0,0,0,0
2,298,0.000104,0.186716,0,0,0,1,0,0,0
3,330,0.000356,1.011376,0,0,0,1,0,0,0
4,361,0.000662,2.489542,0,0,0,1,0,0,0
5,392,0.000945,3.812110,0,0,0,1,0,0,0
6,424,0.001220,4.745688,0,0,0,1,0,0,0
7,455,0.001498,5.414753,0,0,0,1,0,0,0
8,486,0.001779,5.834863,0,0,0,1,0,0,0
9,517,0.002057,6.006019,0,0,0,1,0,0,0
10,549,0.002336,6.037138,0,0,0,1,0,0,0
11,580,0.002615,5.974900,0,0,0,1,0,0,0
12,611,0.002894,5.881542,0,0,0,1,0,0,0
13,642,0.003173,5.757065,0,0,0,1,0,0,0
14,689,0.003452,5.632588,0,0,0,1,0,0,0
15,720,0.003730,5.523670,0,0,0,1,0,0,0
16,751,0.004009,5.414753,0,0,0,1,0,0,0
17,784,0.004288,5.321395,0,0,0,1,0,0,0
18,815,0.004567,5.228037,0,0,0,1,0,0,0
19,847,0.004846,5.150239,0,0,0,1,0,0,0
20,878,0.005125,5.072441,0,0,0,1,0,0,0
21,909,0.005404,4.979083,0,0,0,1,0,0,0
22,940,0.005682,4.916844,0,0,0,1,0,0,0
23,973,0.005962,4.854606,0,0,0,1,0,0,0
24,1004,0.006240,4.792367,0,0,0,1,0,0,0
25,1053,0.006519,4.745688,0,0,0,1,0,0,0
26,1099,0.006798,4.683450,0,0,0,1,0,0,0
27,1131,0.007077,4.652331,0,0,0,1,0,0,0
28,1162,0.007355,4.605652,0,0,0,1,0,0,0
29,1193,0.007635,4.558973,0,0,0,1,0,0,0
30,1224,0.007913,4.512294,0,0,0,1,0,0,0
31,1257,0.008192,4.481175,0,0,0,1,0,0,0
32,1288,0.008471,4.450056,0,0,0,1,0,0,0
33,1319,0.008750,4.403377,0,0,0,1,0,0,0
34,1351,0.009030,4.372257,0,0,0,1,0,0,0
35,1382,0.009308,4.341138,0,0,0,1,0,0,0
36,1429,0.009587,4.310019,0,0,0,1,0,0,0
37,1460,0.009866,4.278900,0,0,0,1,0,0,0
38,1491,0.010145,4.247780,0,0,0,1,0,0,0
39,1522,0.010423,4.232221,0,0,0,1,0,0,0
40,1554,0.010703,4.185542,0,0,0,1,0,0,0
41,1585,0.010981,4.169982,0,0,0,1,0,0,0
42,1616,0.011260,4.138863,0,0,0,1,0,0,0
43,1648,0.011539,4.107744,0,0,0,1,0,0,0
44,1679,0.011818,4.076624,0,0,0,1,0,0,0
45,1726,0.012097,4.061065,0,0,0,1,0,0,0
46,1757,0.012376,4.029945,0,0,0,1,0,0,0
47,1788,0.012655,3.998826,0,0,0,1,0,0,0
48,1819,0.012934,3.967707,0,0,0,1,0,0,0
49,1851,0.013213,3.936588,0,0,0,1,0,0,0
50,1882,0.013491,3.921028,0,0,0,1,0,0,0
51,1913,0.013770,3.889909,0,0,0,1,0,0,0
52,1944,0.014049,3.858789,0,0,0,1,0,0,0
53,1976,0.014328,3.827670,0,0,0,1,0,0,0
54,2023,0.014606,3.796551,0,0,0,1,0,0,0
55,2054,0.014886,3.780991,0,0,0,1,0,0,0
56,2085,0.015164,3.749872,0,0,0,1,0,0,0
57,2116,0.015444,3.718753,0,0,0,1,0,0,0
58,2147,0.015722,3.687633,0,0,0,1,0,0,0
59,2179,0.016002,3.656514,0,0,0,1,0,0,0
60,2210,0.016280,3.625395,0,0,0,1,0,0,0
61,2241,0.016559,3.609835,0,0,0,1,0,0,0
62,2288,0.016837,3.594275,0,0,0,1,0,0,0
63,2319,0.017116,3.609835,0,0,0,1,0,0,0
64,2351,0.017395,3.609835,0,0,0,1,0,0,0
65,2397,0.017674,3.625395,0,0,0,1,0,0,0
66,2429,0.017953,3.625395,0,0,0,1,0,0,0
67,2460,0.018232,3.625395,0,0,0,1,0,0,0
68,2491,0.018511,3.609835,0,0,0,1,0,0,0
69,2522,0.018789,3.594275,0,0,0,1,0,0,0
70,2554,0.019069,3.563156,0,0,0,1,0,0,0
71,2585,0.019348,3.547597,0,0,0,1,0,0,0
72,2616,0.019627,3.532037,0,0,0,1,0,0,0
73,2647,0.019905,3.532037,0,0,0,1,0,0,0
74,2679,0.020184,3.516477,0,0,0,1,0,0,0
75,2710,0.020463,3.516477,0,0,0,1,0,0,0
76,2741,0.020742,3.516477,0,0,0,1,0,0,0
77,2788,0.021020,3.500918,0,0,0,1,0,0,0
78,2819,0.021299,3.500918,0,0,0,1,0,0,0
79,2850,0.021578,3.485358,0,0,0,1,0,0,0
80,2882,0.021857,3.469799,0,0,0,1,0,0,0
81,2913,0.022136,3.438679,0,0,0,1,0,0,0
82,2960,0.022415,3.407560,0,0,0,1,0,0,0
83,2991,0.022694,3.392000,0,0,0,1,0,0,0
84,3022,0.022973,3.423120,0,0,0,1,0,0,0
85,3053,0.023252,3.438679,0,0,0,1,0,0,0
86,3085,0.023530,3.454239,0,0,0,1,0,0,0
87,3116,0.023810,3.438679,0,0,0,1,0,0,0
88,3147,0.024088,3.423120,0,0,0,1,0,0,0
89,3179,0.024367,3.423120,0,0,0,1,0,0,0
90,3225,0.024645,3.423120,0,0,0,1,0,0,0
91,3256,0.024925,3.423120,0,0,0,1,0,0,0
92,3274,0.025203,3.407560,0,0,0,1,0,0,0
93,3321,0.025483,3.392000,0,0,0,1,0,0,0
94,3353,0.025761,3.345321,0,0,0,1,0,0,0
95,3384,0.026040,3.251964,0,0,0,1,0,0,0
96,3431,0.026319,0.840220,0,0,0,1,0,0,0
97,3462,0.026598,0.000000,0,0,0,1,0,0,0
98,3493,0.026876,0.015560,0,0,0,1,0,0,0
99,3524,0.027156,0.015560,0,0,0,1,0,0,0
100,3556,0.027434,0.000000,0,0,0,1,0,0,0
