Index,Time,Position1 - m,Load1 - kg,PauseCycle,Mark1,Mark2,Motion,Upper Limit,Lower Limit,Emergency Stop
0,0,-0.000003,0.077798,0,0,0,0,0,0,0
1,204,-0.000003,0.077798,0,0,0,0,0,0,0
2,283,0.000205,0.264514,0,0,0,1,0,0,0
3,314,0.000497,0.902459,0,0,0,1,0,0,0
4,345,0.000796,1.711560,0,0,0,1,0,0,0
5,376,0.001072,2.287266,0,0,0,1,0,0,0
6,408,0.001348,2.645138,0,0,0,1,0,0,0
7,454,0.001628,2.847413,0,0,0,1,0,0,0
8,485,0.001907,2.909652,0,0,0,1,0,0,0
9,517,0.002186,2.878532,0,0,0,1,0,0,0
10,564,0.002465,2.816294,0,0,0,1,0,0,0
11,595,0.002745,2.738496,0,0,0,1,0,0,0
12,626,0.003023,2.660697,0,0,0,1,0,0,0
13,657,0.003302,2.598459,0,0,0,1,0,0,0
14,689,0.003581,2.536221,0,0,0,1,0,0,0
15,720,0.003860,2.489542,0,0,0,1,0,0,0
16,751,0.004138,2.458422,0,0,0,1,0,0,0
17,782,0.004417,2.411743,0,0,0,1,0,0,0
18,813,0.004695,2.380624,0,0,0,1,0,0,0
19,845,0.004975,2.349505,0,0,0,1,0,0,0
20,876,0.005254,2.318386,0,0,0,1,0,0,0
21,907,0.005533,2.302826,0,0,0,1,0,0,0
22,954,0.005811,2.271707,0,0,0,1,0,0,0
23,985,0.006091,2.256147,0,0,0,1,0,0,0
24,1017,0.006370,2.240587,0,0,0,1,0,0,0
25,1048,0.006648,2.225028,0,0,0,1,0,0,0
26,1079,0.006928,2.209468,0,0,0,1,0,0,0
27,1126,0.007206,2.193908,0,0,0,1,0,0,0
28,1157,0.007485,2.178349,0,0,0,1,0,0,0
29,1189,0.007764,2.178349,0,0,0,1,0,0,0
30,1220,0.008043,2.162789,0,0,0,1,0,0,0
31,1252,0.008321,2.147230,0,0,0,1,0,0,0
32,1284,0.008601,2.147230,0,0,0,1,0,0,0
33,1315,0.008879,2.147230,0,0,0,1,0,0,0
34,1346,0.009158,2.131670,0,0,0,1,0,0,0
35,1393,0.009437,2.116110,0,0,0,1,0,0,0
36,1424,0.009716,2.116110,0,0,0,1,0,0,0
37,1457,0.009994,2.116110,0,0,0,1,0,0,0
38,1488,0.010274,2.100551,0,0,0,1,0,0,0
39,1519,0.010552,2.100551,0,0,0,1,0,0,0
40,1551,0.010832,2.084991,0,0,0,1,0,0,0
41,1582,0.011111,2.069431,0,0,0,1,0,0,0
42,1613,0.011389,2.069431,0,0,0,1,0,0,0
43,1644,0.011669,2.069431,0,0,0,1,0,0,0
44,1676,0.011947,2.069431,0,0,0,1,0,0,0
45,1707,0.012227,2.053872,0,0,0,1,0,0,0
46,1738,0.012505,2.053872,0,0,0,1,0,0,0
47,1785,0.012784,2.038312,0,0,0,1,0,0,0
48,1816,0.013062,2.038312,0,0,0,1,0,0,0
49,1863,0.013342,2.038312,0,0,0,1,0,0,0
50,1879,0.013620,2.022753,0,0,0,1,0,0,0
51,1926,0.013899,2.007193,0,0,0,1,0,0,0
52,1957,0.014178,1.991633,0,0,0,1,0,0,0
53,1988,0.014457,1.960514,0,0,0,1,0,0,0
54,2019,0.014735,1.913835,0,0,0,1,0,0,0
55,2051,0.015015,1.804918,0,0,0,1,0,0,0
56,2082,0.015294,1.680441,0,0,0,1,0,0,0
57,2113,0.015572,1.587083,0,0,0,1,0,0,0
58,2144,0.015852,1.540404,0,0,0,1,0,0,0
59,2176,0.016130,1.493725,0,0,0,1,0,0,0
60,2208,0.016410,1.462606,0,0,0,1,0,0,0
61,2239,0.016688,1.415927,0,0,0,1,0,0,0
62,2286,0.016967,1.384807,0,0,0,1,0,0,0
63,2317,0.017245,1.353688,0,0,0,1,0,0,0
64,2349,0.017524,1.307009,0,0,0,1,0,0,0
65,2396,0.017803,1.275890,0,0,0,1,0,0,0
66,2413,0.018082,1.244771,0,0,0,1,0,0,0
67,2459,0.018361,1.213652,0,0,0,1,0,0,0
68,2491,0.018640,1.166973,0,0,0,1,0,0,0
69,2522,0.018918,1.120294,0,0,0,1,0,0,0
70,2553,0.019198,1.073615,0,0,0,1,0,0,0
71,2585,0.019476,1.026936,0,0,0,1,0,0,0
72,2617,0.019756,0.980257,0,0,0,1,0,0,0
73,2648,0.020035,0.918018,0,0,0,1,0,0,0
74,2696,0.020313,0.855780,0,0,0,1,0,0,0
75,2727,0.020592,0.809101,0,0,0,1,0,0,0
76,2758,0.020871,0.746862,0,0,0,1,0,0,0
77,2789,0.021150,0.684624,0,0,0,1,0,0,0
78,2822,0.021428,0.606826,0,0,0,1,0,0,0
79,2853,0.021707,0.529028,0,0,0,1,0,0,0
80,2884,0.021986,0.482349,0,0,0,1,0,0,0
81,2915,0.022265,0.451229,0,0,0,1,0,0,0
