Index,Time,Position1 - m,Load1 - kg,PauseCycle,Mark1,Mark2,Motion,Upper Limit,Lower Limit,Emergency Stop
0,0,0.000002,0.015560,0,0,0,0,0,0,0
1,156,0.000002,0.015560,0,0,0,0,0,0,0
2,282,0.000002,0.015560,0,0,0,0,0,0,0
3,360,0.000233,0.466789,0,0,0,1,0,0,0
4,392,0.000533,2.131670,0,0,0,1,0,0,0
5,439,0.000828,4.154422,0,0,0,1,0,0,0
6,470,0.001103,5.788184,0,0,0,1,0,0,0
7,501,0.001379,7.079634,0,0,0,1,0,0,0
8,532,0.001659,8.044331,0,0,0,1,0,0,0
9,564,0.001939,8.666717,0,0,0,1,0,0,0
10,597,0.002217,8.962350,0,0,0,1,0,0,0
11,628,0.002497,7.219670,0,0,0,1,0,0,0
12,659,0.002776,0.015560,0,0,0,1,0,0,0
13,690,0.003055,0.015560,0,0,0,1,0,0,0
14,721,0.003333,0.015560,0,0,0,1,0,0,0
15,768,0.003612,0.015560,0,0,0,1,0,0,0
16,799,0.003891,0.015560,0,0,0,1,0,0,0
17,846,0.004170,0.015560,0,0,0,1,0,0,0
18,878,0.004449,0.015560,0,0,0,1,0,0,0
19,909,0.004728,0.015560,0,0,0,1,0,0,0
20,940,0.005006,0.015560,0,0,0,1,0,0,0
21,973,0.005286,0.015560,0,0,0,1,0,0,0
22,1004,0.005564,0.015560,0,0,0,1,0,0,0
23,1035,0.005844,0.015560,0,0,0,1,0,0,0
24,1066,0.006122,0.015560,0,0,0,1,0,0,0
25,1098,0.006401,0.015560,0,0,0,1,0,0,0
26,1145,0.006679,0.015560,0,0,0,1,0,0,0
27,1176,0.006959,0.015560,0,0,0,1,0,0,0
28,1207,0.007237,0.000000,0,0,0,1,0,0,0
29,1238,0.007516,0.000000,0,0,0,1,0,0,0
30,1270,0.007796,0.015560,0,0,0,1,0,0,0
31,1301,0.008074,0.015560,0,0,0,1,0,0,0
32,1332,0.008353,0.015560,0,0,0,1,0,0,0
33,1363,0.008632,0.015560,0,0,0,1,0,0,0
34,1395,0.008911,0.015560,0,0,0,1,0,0,0
35,1426,0.009190,0.015560,0,0,0,1,0,0,0
36,1473,0.009469,0.015560,0,0,0,1,0,0,0
37,1504,0.009747,0.000000,0,0,0,1,0,0,0
38,1535,0.010026,0.015560,0,0,0,1,0,0,0
39,1566,0.010305,0.015560,0,0,0,1,0,0,0
