Index,Time,Position1 - m,Load1 - kg,PauseCycle,Mark1,Mark2,Motion,Upper Limit,Lower Limit,Emergency Stop
0,0,-0.000003,0.077798,0,0,0,0,0,0,0
1,31,-0.000003,0.077798,0,0,0,0,0,0,0
2,156,-0.000003,0.077798,0,0,0,0,0,0,0
3,297,0.000154,0.264514,0,0,0,1,0,0,0
4,328,0.000431,1.369248,0,0,0,1,0,0,0
5,361,0.000734,2.940771,0,0,0,1,0,0,0
6,392,0.001012,4.263340,0,0,0,1,0,0,0
7,423,0.001287,5.274716,0,0,0,1,0,0,0
8,454,0.001567,5.974900,0,0,0,1,0,0,0
9,486,0.001847,6.379450,0,0,0,1,0,0,0
10,517,0.002126,6.535047,0,0,0,1,0,0,0
11,548,0.002404,6.519487,0,0,0,1,0,0,0
12,579,0.002684,6.426129,0,0,0,1,0,0,0
13,626,0.002962,6.301652,0,0,0,1,0,0,0
14,658,0.003241,6.146056,0,0,0,1,0,0,0
15,704,0.003520,6.006019,0,0,0,1,0,0,0
16,736,0.003799,5.881542,0,0,0,1,0,0,0
17,767,0.004077,5.757065,0,0,0,1,0,0,0
18,798,0.004357,5.648147,0,0,0,1,0,0,0
19,829,0.004635,5.554790,0,0,0,1,0,0,0
20,861,0.004914,5.461432,0,0,0,1,0,0,0
21,892,0.005193,5.368074,0,0,0,1,0,0,0
22,923,0.005472,5.290276,0,0,0,1,0,0,0
23,954,0.005751,5.228037,0,0,0,1,0,0,0
24,986,0.006030,5.150239,0,0,0,1,0,0,0
25,1032,0.006309,5.088000,0,0,0,1,0,0,0
26,1064,0.006587,5.025762,0,0,0,1,0,0,0
27,1095,0.006867,4.963523,0,0,0,1,0,0,0
28,1126,0.007145,4.901285,0,0,0,1,0,0,0
29,1157,0.007424,4.854606,0,0,0,1,0,0,0
30,1189,0.007702,4.807927,0,0,0,1,0,0,0
31,1220,0.007982,4.761248,0,0,0,1,0,0,0
32,1251,0.008260,4.714569,0,0,0,1,0,0,0
33,1282,0.008539,4.667891,0,0,0,1,0,0,0
34,1314,0.008818,4.621212,0,0,0,1,0,0,0
35,1345,0.009097,4.574533,0,0,0,1,0,0,0
36,1392,0.009375,4.543413,0,0,0,1,0,0,0
37,1439,0.009655,4.496735,0,0,0,1,0,0,0
38,1470,0.009933,4.450056,0,0,0,1,0,0,0
39,1501,0.010212,4.403377,0,0,0,1,0,0,0
